nsic_2digt,section,description,sector_short,tradability,ag_orientation,manuf_tier,modernity
28,C,Manufacture of machinery and equipment,manuf,tradable_goods,not_ag,medium_high_tech,modern_manuf
29,C,"Manufacture of motor vehicles, trailers and semi-trailers",manuf,tradable_goods,not_ag,medium_high_tech,industrial_sector
30,C,Manufacture of other transport equipment,manuf,tradable_goods,not_ag,medium_high_tech,industrial_sector
31,C,Manufacture of furniture,manuf,tradable_goods,not_ag,low_tech,industrial_sector
32,C,Other manufacturing,manuf,tradable_goods,not_ag,low_tech,industrial_sector
33,C,Repair and installation of machinery and equipment,manuf,tradable_goods,not_ag,medium_low_tech,industrial_sector
35,D,"Electricity, gas, steam and air conditioning supply",energy,non_tradable_utilities,not_ag,not_manuf,industrial_sector
36,E,"Water collection, treatment and supply",water_waste,non_tradable_utilities,not_ag,not_manuf,other
37,E,Sewerage,water_waste,non_tradable_utilities,not_ag,not_manuf,other
38,E,"Waste collection, treatment and disposal activities",water_waste,non_tradable_utilities,not_ag,not_manuf,other
39,E,Remediation activities and other waste management services,water_waste,non_tradable_utilities,not_ag,not_manuf,other
41,F,Construction of buildings,construct,non_tradable_services,not_ag,not_manuf,industrial_sector
42,F,Civil engineering,construct,non_tradable_services,not_ag,not_manuf,industrial_sector
43,F,Specialized construction activities,construct,non_tradable_services,not_ag,not_manuf,industrial_sector
45,G,Wholesale and retail trade and repair of motor vehicles,wholesale,non_tradable_services,not_ag,not_manuf,traditional_commerce
46,G,"Wholesale trade, except of motor vehicles and motorcycles",wholesale,non_tradable_services,not_ag,not_manuf,traditional_commerce
47,G,"Retail trade, except of motor vehicles and motorcycles",wholesale,non_tradable_services,not_ag,not_manuf,traditional_commerce
49,H,Land transport and transport via pipelines,transport,tradable_services,not_ag,not_manuf,other
50,H,Water transport,transport,tradable_services,not_ag,not_manuf,other
51,H,Air transport,transport,tradable_services,not_ag,not_manuf,other
52,H,Warehousing and support activities for transportation,transport,tradable_services,not_ag,not_manuf,other
53,H,Postal and courier activities,transport,tradable_services,not_ag,not_manuf,other
55,I,Accommodation,hospitality,non_tradable_services,not_ag,not_manuf,traditional_commerce
56,I,Food and beverage service activities,hospitality,non_tradable_services,not_ag,not_manuf,traditional_commerce
58,J,Publishing activities,info_comm,tradable_services,not_ag,not_manuf,modern_services
59,J,"Motion picture, video and TV programme production",info_comm,tradable_services,not_ag,not_manuf,modern_services
60,J,Programming and broadcasting activities,info_comm,tradable_services,not_ag,not_manuf,modern_services
61,J,Telecommunications,info_comm,tradable_services,not_ag,not_manuf,modern_services
62,J,"Computer programming, consultancy and related activities",info_comm,tradable_services,not_ag,not_manuf,modern_services
63,J,Information service activities,info_comm,tradable_services,not_ag,not_manuf,modern_services
64,K,"Financial service activities, except insurance and pension",finance,tradable_services,not_ag,not_manuf,modern_services
65,K,"Insurance, reinsurance and pension funding",finance,tradable_services,not_ag,not_manuf,modern_services
66,K,Activities auxiliary to financial service and insurance,finance,tradable_services,not_ag,not_manuf,modern_services
68,L,Real estate activities,real_estate,non_tradable_services,not_ag,not_manuf,other
69,M,Legal and accounting activities,prof_tech,tradable_services,not_ag,not_manuf,modern_services
70,M,Activities of head offices; management consultancy,prof_tech,tradable_services,not_ag,not_manuf,modern_services
71,M,Architectural and engineering activities,prof_tech,tradable_services,not_ag,not_manuf,modern_services
72,M,Scientific research and development,prof_tech,tradable_services,not_ag,not_manuf,modern_services
73,M,Advertising and market research,prof_tech,tradable_services,not_ag,not_manuf,modern_services
74,M,"Other professional, scientific and technical activities",prof_tech,tradable_services,not_ag,not_manuf,modern_services
75,M,Veterinary activities,prof_tech,tradable_services,not_ag,not_manuf,modern_services
77,N,Rental and leasing activities,admin_sup,non_tradable_services,not_ag,not_manuf,other
78,N,Employment activities,admin_sup,non_tradable_services,not_ag,not_manuf,other
79,N,"Travel agency, tour operator, reservation service",admin_sup,non_tradable_services,not_ag,not_manuf,other
80,N,Security and investigation activities,admin_sup,non_tradable_services,not_ag,not_manuf,other
81,N,Services to buildings and landscape activities,admin_sup,non_tradable_services,not_ag,not_manuf,other
82,N,"Office administrative, office support, business support",admin_sup,non_tradable_services,not_ag,not_manuf,other
84,O,Public administration and defence; compulsory social security,public_admin,public_admin,not_ag,not_manuf,public_sector
85,P,Education,education,non_tradable_services,not_ag,not_manuf,public_sector
86,Q,Human health activities,health,non_tradable_services,not_ag,not_manuf,public_sector
87,Q,Residential care activities,health,non_tradable_services,not_ag,not_manuf,public_sector
88,Q,Social work activities without accommodation,health,non_tradable_services,not_ag,not_manuf,public_sector
90,R,"Creative, arts and entertainment activities",arts,non_tradable_services,not_ag,not_manuf,other
91,R,"Libraries, archives, museums and other cultural activities",arts,non_tradable_services,not_ag,not_manuf,other
92,R,Gambling and betting activities,arts,non_tradable_services,not_ag,not_manuf,other
93,R,Sports activities and amusement and recreation activities,arts,non_tradable_services,not_ag,not_manuf,other
94,S,Activities of membership organizations,services,non_tradable_services,not_ag,not_manuf,other
95,S,Repair of computers and personal and household goods,services,non_tradable_services,not_ag,not_manuf,traditional_services
96,S,Other personal service activities,services,non_tradable_services,not_ag,not_manuf,traditional_services
97,T,Activities of households as employers of domestic personnel,hh_prod,non_tradable_services,not_ag,not_manuf,traditional_commerce
98,T,Undifferentiated goods/services production by households,hh_prod,non_tradable_services,not_ag,not_manuf,traditional_commerce
99,U,Activities of extraterritorial organizations and bodies,extra_orgs,extra_territorial,not_ag,not_manuf,other
