outcome_group,dataset,outcome,spec,threshold,lag,c_mig_log_flag,c_fx_flag,beta,stars,se,pval,mean_y,sd_y,n,n_muni,interpret,err
Firm entry by industry (NEC panel),nec_panel,log_new_firms_education_health_social,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.198730588717104,***,0.0594313362408791,0.000891676128169481,1.06850846215309,0.794526252649764,7600,475,+19.9% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_education_health_social,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.112801061499234,*,0.0593952893110807,0.058150517639151,1.1234572051697,0.793007162201919,6650,475,+11.3% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_education_health_social,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.0918276396194948,*,0.0518850330473425,0.0773984538078107,1.03342177489394,0.795684974640244,8075,475,+9.2% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_education_health_social,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,0.166811435956037,***,0.0560226468342475,0.00305422560510219,1.06850846215309,0.794526252649764,7600,475,+16.7% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_education_health_social,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,0.065660387482247,"",0.0593476492563455,0.269128107539301,1.1234572051697,0.793007162201919,6650,475,+6.6% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_finance_prof_realestate,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,-0.0887609740045644,"",0.0599471310215223,0.139363106398158,0.700346799763377,0.816440934951739,8075,475,-8.9% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_finance_prof_realestate,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,-0.0604406091302469,"",0.0648495657460158,0.351804509481419,0.729034426868052,0.824770168334779,7600,475,-6.0% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_finance_prof_realestate,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,-0.0365299855009074,"",0.0715917976700877,0.610111199299419,0.790096416315644,0.839764513893601,6650,475,-3.7% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_finance_prof_realestate,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,-0.126628433527835,**,0.0570561045059781,0.0269343917809681,0.700346799763377,0.816440934951739,8075,475,-12.7% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_finance_prof_realestate,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,-0.0793896580950391,"",0.0666308254040934,0.234059314197192,0.729034426868052,0.824770168334779,7600,475,-7.9% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_finance_prof_realestate,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,-0.0863538827820463,"",0.0730357565285594,0.23765931178472,0.790096416315644,0.839764513893601,6650,475,-8.6% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_hospitality_food,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.201422900996721,**,0.0856164110817396,0.0190495538347111,1.56989000059834,1.24221759914221,8075,475,+20.1% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_hospitality_food,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.151767903183153,*,0.0850204607477831,0.0748884864113262,1.64035032656846,1.23768685426737,7600,475,+15.2% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_hospitality_food,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.0929552238050675,"",0.0682300675769186,0.173725239197991,1.73319029083333,1.24821525444885,6650,475,+9.3% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_hospitality_food,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.130576116095225,"",0.0794870625001648,0.101101111974112,1.56989000059834,1.24221759914221,8075,475,+13.1% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_hospitality_food,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,0.127897254150031,"",0.0815403170988922,0.117428163039346,1.64035032656846,1.23768685426737,7600,475,+12.8% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_hospitality_food,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,0.0670339732650905,"",0.0636852640043158,0.293068815637628,1.73319029083333,1.24821525444885,6650,475,+6.7% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_manufacturing,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.217731717629484,***,0.066884676597368,0.00121366618080494,1.54324409618807,1.13561235885373,8075,475,+21.8% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_manufacturing,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.2193089594033,***,0.0634310581833459,0.000594470924723758,1.60382784519622,1.13113349302142,7600,475,+21.9% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_manufacturing,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.0686868595921413,"",0.059604544438078,0.249747357153047,1.68858524129216,1.13682539576822,6650,475,+6.9% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_manufacturing,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.172874841135102,***,0.0642061006788687,0.00734298272629642,1.54324409618807,1.13561235885373,8075,475,+17.3% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_manufacturing,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,0.201322420789887,***,0.0605497036196506,0.000953068125021228,1.60382784519622,1.13113349302142,7600,475,+20.1% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_manufacturing,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,0.0216755260176307,"",0.0558275031234908,0.697998751674216,1.68858524129216,1.13682539576822,6650,475,+2.2% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_other_services,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.256013658489601,***,0.0806899637228173,0.0016077852353732,1.13190815042147,1.00374553826445,8075,475,+25.6% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_other_services,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.239240205811423,***,0.0714265763017931,0.000874294768259768,1.17698698766385,1.00773907903528,7600,475,+23.9% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_other_services,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.0831190475054822,"",0.0652288809461953,0.203192984727889,1.2446415883134,1.01969846677286,6650,475,+8.3% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_other_services,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.160123523447945,**,0.0726109669774511,0.0279176737795133,1.13190815042147,1.00374553826445,8075,475,+16.0% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_other_services,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,0.166936321320114,**,0.0698480285887976,0.0172383384754042,1.17698698766385,1.00773907903528,7600,475,+16.7% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_other_services,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,-0.0207932072642296,"",0.0669644896732497,0.756308922149517,1.2446415883134,1.01969846677286,6650,475,-2.1% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_trade_retail,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.204942223061012,***,0.0638590734747688,0.00142087063670673,2.75430881176614,1.3909908094627,8075,475,+20.5% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_trade_retail,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.193141266443275,***,0.0591160045841694,0.00116516067715609,2.83836806575165,1.37050704651072,7600,475,+19.3% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_trade_retail,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.16346567928347,***,0.0619824239980683,0.00863165558675884,2.95082351093139,1.35689959066683,6650,475,+16.3% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_trade_retail,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.177065027965884,***,0.0576084419099151,0.00223688252845114,2.75430881176614,1.3909908094627,8075,475,+17.7% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_trade_retail,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,0.175240063332985,***,0.0542979862996177,0.00133584704463308,2.83836806575165,1.37050704651072,7600,475,+17.5% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_trade_retail,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,0.139733257381604,**,0.0571892768170024,0.0149155589438992,2.95082351093139,1.35689959066683,6650,475,+14.0% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_transport_storage,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.0741891882856673,**,0.0324363377371397,0.0226225472102659,0.0700425721736749,0.281845972237461,8075,475,+7.4% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_transport_storage,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.0404755585572143,"",0.0326028291766813,0.215044758859601,0.0729299801765991,0.288147250334501,7600,475,+4.0% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_transport_storage,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.00121580971901726,"",0.0302831850765178,0.967992027929823,0.0785682878603713,0.299139431931173,6650,475,+0.1% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_transport_storage,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.0386685909403744,"",0.0294521035040676,0.189841346670536,0.0700425721736749,0.281845972237461,8075,475,+3.9% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_transport_storage,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,0.0102405328403383,"",0.0298890099056738,0.732037234086654,0.0729299801765991,0.288147250334501,7600,475,+1.0% change (log outcome),""
Firm entry by industry (NEC panel),nec_panel,log_new_firms_transport_storage,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,-0.0413222201819837,"",0.0298822551360162,0.167366631043925,0.0785682878603713,0.299139431931173,6650,475,-4.1% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_10_50_workers,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.106222888944046,*,0.060566635029802,0.0801078692552906,0.756780729763691,0.832804086913968,8075,475,+10.6% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_10_50_workers,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.153296184184914,**,0.0682341649065265,0.0251238996700151,0.78099926889896,0.838949346175649,7600,475,+15.3% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_10_50_workers,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.0634130749792687,"",0.0556975729420136,0.255476455852194,0.821510295955802,0.84976883580166,6650,475,+6.3% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_10_50_workers,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.107267334729151,*,0.0588685804600279,0.06906233648241,0.756780729763691,0.832804086913968,8075,475,+10.7% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_10_50_workers,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,0.154655542272378,**,0.0664548483483353,0.020373469793977,0.78099926889896,0.838949346175649,7600,475,+15.5% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_10_50_workers,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,0.05235137687913,"",0.0531780849201954,0.325394580458458,0.821510295955802,0.84976883580166,6650,475,+5.2% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_1_worker,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.167801226193335,**,0.0772119442321712,0.0302556033743435,2.46243206360319,1.32740743167372,8075,475,+16.8% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_1_worker,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.189155396977765,***,0.0617076345154649,0.00229824635536353,2.54608583606469,1.30870156661343,7600,475,+18.9% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_1_worker,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.119975344386235,"",0.0730290686025507,0.101078440722129,2.66121146171283,1.29552334862394,6650,475,+12.0% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_1_worker,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.0917338920732466,"",0.0711743579747416,0.198074896001005,2.46243206360319,1.32740743167372,8075,475,+9.2% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_1_worker,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,0.141246565735395,**,0.0610629474092203,0.0211426565072286,2.54608583606469,1.30870156661343,7600,475,+14.1% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_1_worker,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,0.0682660181915365,"",0.0667437997763442,0.306920873449685,2.66121146171283,1.29552334862394,6650,475,+6.8% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_2_9_workers,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.180352570200879,***,0.0610501912212443,0.00329106582024606,2.85953653240834,1.32738201531519,8075,475,+18.0% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_2_9_workers,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.16663349903738,***,0.0617087612125147,0.00717511427123432,2.94145450526236,1.30393455406917,7600,475,+16.7% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_2_9_workers,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.069182154414946,"",0.055295094240068,0.211498914571014,3.05116627033027,1.28827848754562,6650,475,+6.9% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_2_9_workers,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.159527170190994,***,0.0548601570709894,0.00380951828792661,2.85953653240834,1.32738201531519,8075,475,+16.0% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_2_9_workers,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,0.144828402474725,***,0.0550105019509232,0.00874641020192702,2.94145450526236,1.30393455406917,7600,475,+14.5% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_2_9_workers,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,0.0482512801900209,"",0.0530829289904185,0.363823025242073,3.05116627033027,1.28827848754562,6650,475,+4.8% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_51plus_workers,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,-0.0556060537711643,*,0.03332635179218,0.0958707119068178,0.113469290523539,0.342259378617095,8075,475,-5.6% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_51plus_workers,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,-0.0564855884526805,"",0.0356738583465078,0.113999817305534,0.116427450761538,0.346023109583276,7600,475,-5.6% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_51plus_workers,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,-0.0651050523893759,**,0.0320564214648761,0.0428174313601142,0.120930263472573,0.350802448934311,6650,475,-6.5% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_51plus_workers,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,-0.0502404138523123,"",0.0310038955302414,0.105799631970638,0.113469290523539,0.342259378617095,8075,475,-5.0% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_51plus_workers,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,-0.0390348881509783,"",0.0327987556786684,0.234589774792077,0.116427450761538,0.346023109583276,7600,475,-3.9% change (log outcome),""
Firm entry by size (NEC panel),nec_panel,log_new_firms_size_51plus_workers,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,-0.0516375641867019,*,0.0303206834027328,0.0892147118772778,0.120930263472573,0.350802448934311,6650,475,-5.2% change (log outcome),""
Firm entry — all (NEC panel),nec_panel,log_new_firms,S12A_logmig_lag2_keep_cfx,25,2,TRUE,TRUE,0.146236271753908,**,0.0610042614821223,0.016909405294068,3.41389070312619,1.31634677226885,8075,475,+14.6% change (log outcome),""
Firm entry — all (NEC panel),nec_panel,log_new_firms,S13A_logmig_lag3_keep_cfx,25,3,TRUE,TRUE,0.169402673159105,***,0.0577962134585048,0.00354157660763431,3.50199230386075,1.2855900053349,7600,475,+16.9% change (log outcome),""
Firm entry — all (NEC panel),nec_panel,log_new_firms,S14A_logmig_lag5_keep_cfx,25,5,TRUE,TRUE,0.088011729723346,*,0.048266336848788,0.0688633933803021,3.62000934424857,1.26043155628307,6650,475,+8.8% change (log outcome),""
Firm entry — all (NEC panel),nec_panel,log_new_firms,S12B_logmig_lag2_drop_cfx,25,2,TRUE,FALSE,0.108690765624231,**,0.0540415399837454,0.0448652076887248,3.41389070312619,1.31634677226885,8075,475,+10.9% change (log outcome),""
Firm entry — all (NEC panel),nec_panel,log_new_firms,S13B_logmig_lag3_drop_cfx,25,3,TRUE,FALSE,0.13524434563068,***,0.0505825867367933,0.00776015891564933,3.50199230386075,1.2855900053349,7600,475,+13.5% change (log outcome),""
Firm entry — all (NEC panel),nec_panel,log_new_firms,S14B_logmig_lag5_drop_cfx,25,5,TRUE,FALSE,0.0502949239356257,"",0.0462026575107656,0.276895785167715,3.62000934424857,1.26043155628307,6650,475,+5.0% change (log outcome),""
