hhid,year,member_id,n_jobs,n_wage_agri,n_wage_nonagri,n_self_agri,n_self_nonagri,worked,n_wage_jobs,longterm_income_rs_member,contract_income_rs_member,has_sec_primary,has_sec_secondary,has_sec_tertiary,daily_income_rs_member,wage_total_income_member
22,2016,2617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016,2618,1,0,0,1,0,1,0,0,0,0,0,0,0,0
23,2016,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016,2621,1,0,0,1,0,1,0,0,0,0,0,0,0,0
23,2016,2620,1,0,1,0,0,1,1,96000,0,0,0,1,0,96000
23,2016,2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016,2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016,2626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016,2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016,2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016,2624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016,2628,1,0,0,1,0,1,0,0,0,0,0,0,0,0
25,2016,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016,2629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016,2627,1,0,1,0,0,1,1,227000,0,0,0,1,0,227000
26,2016,2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016,2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016,2633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016,2634,2,0,0,1,1,1,0,0,0,0,0,0,0,0
27,2016,2635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016,2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016,2637,2,0,0,1,1,1,0,0,0,0,0,0,0,0
28,2016,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016,2638,2,0,0,1,1,1,0,0,0,0,0,0,0,0
29,2016,2642,1,0,1,0,0,1,1,240000,0,0,0,1,0,240000
29,2016,2645,1,0,1,0,0,1,1,210000,0,0,0,1,0,210000
29,2016,2641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016,2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016,2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016,2644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016,2651,2,0,1,1,0,1,1,0,0,0,1,0,9600,9600
30,2016,2646,2,0,1,1,0,1,1,0,0,0,1,0,30000,30000
30,2016,2647,1,0,0,1,0,1,0,0,0,0,0,0,0,0
30,2016,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016,2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016,1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016,2652,1,0,1,0,0,1,1,0,0,0,1,0,108500,108500
31,2016,2653,1,0,0,1,0,1,0,0,0,0,0,0,0,0
31,2016,2654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016,2657,2,0,1,1,0,1,1,0,0,0,1,0,35000,35000
32,2016,2658,1,0,0,1,0,1,0,0,0,0,0,0,0,0
32,2016,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016,2656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016,2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016,2659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016,2666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016,2664,1,0,0,1,0,1,0,0,0,0,0,0,0,0
34,2016,2663,1,0,1,0,0,1,1,190000,0,0,1,0,0,190000
35,2016,2668,1,0,1,0,0,1,1,0,0,0,0,0,2000,2000
35,2016,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016,2667,2,0,1,1,0,1,1,0,0,0,0,1,0,0
36,2016,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2016,2671,1,1,0,0,0,1,1,0,0,1,0,0,28200,28200
37,2016,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016,2677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016,2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016,2674,2,0,1,1,0,1,1,254000,0,0,0,1,0,254000
37,2016,2675,1,0,0,1,0,1,0,0,0,0,0,0,0,0
37,2016,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016,2685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016,2686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016,38194,1,0,1,0,0,1,1,0,0,0,1,0,72000,72000
38,2016,2679,1,0,0,1,0,1,0,0,0,0,0,0,0,0
38,2016,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016,2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016,2680,1,0,0,1,0,1,0,0,0,0,0,0,0,0
38,2016,2684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2016,2689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2016,2688,1,0,0,0,1,1,0,0,0,0,0,0,0,0
39,2016,2687,1,0,0,0,1,1,0,0,0,0,0,0,0,0
41,2016,2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2016,2693,1,0,1,0,0,1,1,0,0,0,1,0,149000,149000
41,2016,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2016,2695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2016,2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016,2703,1,0,1,0,0,1,1,0,0,0,1,0,87600,87600
42,2016,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016,2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016,2697,2,0,0,1,1,1,0,0,0,0,0,0,0,0
42,2016,2704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016,2705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016,2708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016,2713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016,2710,2,0,0,2,0,1,0,0,0,0,0,0,0,0
43,2016,2712,1,0,0,1,0,1,0,0,0,0,0,0,0,0
43,2016,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016,2706,1,0,0,1,0,1,0,0,0,0,0,0,0,0
43,2016,2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016,2714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016,2707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2016,2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2016,2716,1,0,1,0,0,1,1,0,0,0,0,0,156000,156000
44,2016,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2016,2718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2016,2715,1,0,0,0,1,1,0,0,0,0,0,0,0,0
45,2016,2721,1,0,1,0,0,1,1,0,0,1,0,0,0,0
45,2016,2720,1,0,1,0,0,1,1,0,0,0,0,1,158100,158100
45,2016,2724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2016,2723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2016,2722,1,0,1,0,0,1,1,0,0,0,1,0,91650,91650
46,2016,2726,2,0,0,2,0,1,0,0,0,0,0,0,0,0
46,2016,2725,1,0,0,1,0,1,0,0,0,0,0,0,0,0
47,2016,2729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2016,2730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2016,2727,1,0,0,1,0,1,0,0,0,0,0,0,0,0
47,2016,2728,2,0,0,1,1,1,0,0,0,0,0,0,0,0
48,2016,2731,1,0,0,1,0,1,0,0,0,0,0,0,0,0
48,2016,2732,1,0,0,1,0,1,0,0,0,0,0,0,0,0
48,2016,2733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2016,2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2016,2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2016,2736,1,0,0,1,0,1,0,0,0,0,0,0,0,0
49,2016,2739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2016,2738,1,0,1,0,0,1,1,144000,0,0,0,1,0,144000
49,2016,2737,2,0,0,2,0,1,0,0,0,0,0,0,0,0
50,2016,2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2016,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2016,2741,1,0,0,1,0,1,0,0,0,0,0,0,0,0
50,2016,2740,2,0,1,1,0,1,1,0,0,0,1,0,20000,20000
51,2016,2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2016,2742,1,0,0,1,0,1,0,0,0,0,0,0,0,0
51,2016,2744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2016,2746,1,0,0,1,0,1,0,0,0,0,0,0,0,0
52,2016,2749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2016,2745,2,0,1,1,0,1,1,0,0,0,1,0,42500,42500
52,2016,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2016,2747,1,0,0,1,0,1,0,0,0,0,0,0,0,0
52,2016,2748,1,0,0,1,0,1,0,0,0,0,0,0,0,0
53,2016,2752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2016,1849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2016,2750,1,0,0,1,0,1,0,0,0,0,0,0,0,0
53,2016,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2016,2751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2016,2754,1,0,0,1,0,1,0,0,0,0,0,0,0,0
54,2016,2753,1,0,0,1,0,1,0,0,0,0,0,0,0,0
54,2016,2755,1,0,0,1,0,1,0,0,0,0,0,0,0,0
55,2016,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2016,2756,2,0,1,1,0,1,1,0,0,0,1,0,72600,72600
55,2016,2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2016,2760,1,0,0,1,0,1,0,0,0,0,0,0,0,0
56,2016,2763,1,0,0,1,0,1,0,0,0,0,0,0,0,0
56,2016,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2016,2759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2016,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2016,2761,2,0,1,1,0,1,1,74400,0,0,0,1,0,74400
56,2016,2764,1,0,0,1,0,1,0,0,0,0,0,0,0,0
56,2016,2762,2,0,0,2,0,1,0,0,0,0,0,0,0,0
57,2016,2765,1,0,1,0,0,1,1,0,0,0,1,0,144000,144000
57,2016,2766,1,0,0,1,0,1,0,0,0,0,0,0,0,0
58,2016,2767,1,0,1,0,0,1,1,0,0,0,1,0,95000,95000
58,2016,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2016,2769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2016,2768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2016,2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2016,2774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2016,2772,2,0,0,2,0,1,0,0,0,0,0,0,0,0
59,2016,2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2016,2777,1,0,0,1,0,1,0,0,0,0,0,0,0,0
60,2016,2778,1,0,0,1,0,1,0,0,0,0,0,0,0,0
60,2016,2775,1,0,0,1,0,1,0,0,0,0,0,0,0,0
60,2016,2776,1,0,0,1,0,1,0,0,0,0,0,0,0,0
61,2016,1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2016,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2016,2779,1,0,0,1,0,1,0,0,0,0,0,0,0,0
62,2016,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2016,2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2016,2782,1,0,0,1,0,1,0,0,0,0,0,0,0,0
62,2016,2781,1,0,0,1,0,1,0,0,0,0,0,0,0,0
62,2016,2785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2016,2784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2016,2786,1,0,1,0,0,1,1,182000,0,0,0,1,0,182000
63,2016,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2016,2787,1,0,0,1,0,1,0,0,0,0,0,0,0,0
64,2016,2791,1,0,0,1,0,1,0,0,0,0,0,0,0,0
64,2016,2790,1,0,0,1,0,1,0,0,0,0,0,0,0,0
64,2016,2789,1,0,0,1,0,1,0,0,0,0,0,0,0,0
64,2016,2788,1,0,0,1,0,1,0,0,0,0,0,0,0,0
65,2016,2793,1,0,0,1,0,1,0,0,0,0,0,0,0,0
65,2016,2794,1,0,0,1,0,1,0,0,0,0,0,0,0,0
65,2016,2796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2016,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2016,2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2016,2797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2016,2792,2,0,1,1,0,1,1,0,0,0,0,0,81600,81600
66,2016,2801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2016,2802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2016,2798,1,0,1,0,0,1,1,156000,0,0,0,1,0,156000
66,2016,2800,1,0,0,1,0,1,0,0,0,0,0,0,0,0
66,2016,2799,1,0,0,1,0,1,0,0,0,0,0,0,0,0
67,2016,2804,1,0,0,1,0,1,0,0,0,0,0,0,0,0
67,2016,2805,1,0,0,1,0,1,0,0,0,0,0,0,0,0
67,2016,2803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2016,2808,1,0,0,1,0,1,0,0,0,0,0,0,0,0
68,2016,2809,1,0,0,1,0,1,0,0,0,0,0,0,0,0
68,2016,2807,1,0,0,1,0,1,0,0,0,0,0,0,0,0
68,2016,2810,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2016,2806,1,0,1,0,0,1,1,279000,0,0,1,0,0,279000
69,2016,2813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2016,2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2016,2815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2016,2811,1,0,1,0,0,1,1,332500,0,0,0,1,0,332500
69,2016,2814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2016,2816,1,0,0,1,0,1,0,0,0,0,0,0,0,0
70,2016,2817,1,0,0,1,0,1,0,0,0,0,0,0,0,0
70,2016,2820,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2016,2819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2016,2818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2016,2821,2,0,1,1,0,1,1,0,0,0,1,0,51100,51100
71,2016,2822,1,0,0,1,0,1,0,0,0,0,0,0,0,0
71,2016,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2016,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2016,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2016,2825,1,0,0,1,0,1,0,0,0,0,0,0,0,0
72,2016,2824,1,0,0,1,0,1,0,0,0,0,0,0,0,0
72,2016,2827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2016,2828,1,0,0,1,0,1,0,0,0,0,0,0,0,0
73,2016,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2016,2830,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2016,2829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2016,2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2016,2832,1,0,0,1,0,1,0,0,0,0,0,0,0,0
74,2016,2831,1,0,0,1,0,1,0,0,0,0,0,0,0,0
75,2016,2835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2016,2834,1,0,1,0,0,1,1,0,0,0,1,0,99000,99000
76,2016,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2016,2836,1,0,0,1,0,1,0,0,0,0,0,0,0,0
76,2016,2838,1,0,0,1,0,1,0,0,0,0,0,0,0,0
76,2016,2839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2016,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2016,2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2016,2845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2016,2843,1,0,0,1,0,1,0,0,0,0,0,0,0,0
77,2016,2841,1,0,0,1,0,1,0,0,0,0,0,0,0,0
77,2016,2842,1,0,0,1,0,1,0,0,0,0,0,0,0,0
77,2016,2844,1,0,0,1,0,1,0,0,0,0,0,0,0,0
78,2016,2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2016,2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2016,2846,1,0,0,1,0,1,0,0,0,0,0,0,0,0
78,2016,2848,1,0,0,0,1,1,0,0,0,0,0,0,0,0
78,2016,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2016,2849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2016,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2016,2852,1,0,0,1,0,1,0,0,0,0,0,0,0,0
79,2016,2854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2016,2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2016,2855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2016,2859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2016,2857,1,0,0,1,0,1,0,0,0,0,0,0,0,0
80,2016,2860,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2016,2858,1,0,1,0,0,1,1,0,0,0,1,0,110400,110400
80,2016,2856,1,0,0,1,0,1,0,0,0,0,0,0,0,0
81,2016,2861,1,0,0,1,0,1,0,0,0,0,0,0,0,0
81,2016,2862,1,0,1,0,0,1,1,237500,0,0,0,1,0,237500
82,2016,2863,2,0,1,1,0,1,1,0,0,0,1,0,63000,63000
82,2016,2864,1,0,0,1,0,1,0,0,0,0,0,0,0,0
82,2016,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2016,2865,1,0,1,0,0,1,1,0,0,1,0,0,82000,82000
82,2016,2866,1,0,0,1,0,1,0,0,0,0,0,0,0,0
82,2016,2867,1,0,0,1,0,1,0,0,0,0,0,0,0,0
83,2016,2868,1,0,0,1,0,1,0,0,0,0,0,0,0,0
83,2016,2869,2,0,0,2,0,1,0,0,0,0,0,0,0,0
83,2016,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2016,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2016,2870,1,0,0,1,0,1,0,0,0,0,0,0,0,0
83,2016,2873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2016,2871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2016,2876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
